friday,hotelId,price
2017-11-24,3872807,133
2017-11-24,1584661,225
2017-11-24,28126,155
2017-11-24,62766,119
2017-11-24,4735824,193
2017-11-24,18561,231
2017-11-24,574158,304
2017-11-24,115911,139
2017-11-24,1217618,189
2017-11-24,5349114,572
2017-11-24,25875,301
2017-11-24,49091,331
2017-11-24,11196,460
2017-11-24,518026,189
2017-11-24,115923,425
2017-11-24,20515,292
2017-11-24,13891,313
2017-11-24,527482,183
2017-11-24,10430,262
2017-11-24,201089,163
2017-11-24,9745,240
2017-11-24,8466215,199
2017-11-24,428403,145
2017-11-24,447050,188
2017-11-24,47581,272
2017-11-24,2651,207
2017-11-24,470865,297
2017-11-24,21364,876
2017-11-24,5685761,172
2017-11-24,523223,227
2017-11-24,2816681,199
2017-11-24,856595,357
2017-11-24,559690,171
2017-11-24,5627,277
2017-11-24,807771,286
2017-11-24,34285,139
2017-11-24,888733,129
2017-11-24,528338,207
2017-11-24,578692,406
2017-11-24,20210,193
2017-11-24,7281877,333
2017-11-24,1118954,227
2017-11-24,10744,354
2017-11-24,27158,860
2017-11-24,15588,759
2017-11-24,523756,384
2017-11-24,2156327,179
2017-11-24,2479,228
2017-11-24,559689,160
2017-11-24,854775,171
2017-11-24,535667,219
2017-11-24,14736047,183
2017-11-24,1742184,219
2017-11-24,5244458,183
2017-11-24,7733871,185
2017-11-24,6232954,209
2017-11-24,329968,154
2017-11-24,847459,194
2017-11-24,1183908,191
2017-11-24,8161,216
2017-11-24,914263,144
2017-11-24,8563,433
2017-11-24,7049006,176
2017-11-24,21352,419
2017-11-24,909545,179
2017-11-24,6511543,285
2017-11-24,15118004,199
2017-11-24,888528,229
2017-11-24,801796,245
2017-11-24,455821,407
2017-11-24,891035,259
2017-11-24,525490,414
2017-11-24,25926,234
2017-11-24,1058226,143
2017-11-24,2605,187
2017-11-24,900931,117
2017-11-24,5459142,196
2017-11-24,16413,272
2017-11-24,3231188,173
2017-11-24,6473,245
2017-11-24,527232,178
2017-11-24,5210931,166
2017-11-24,447037,164
2017-11-24,5261444,229
2017-11-24,14849368,212
2017-11-24,582065,179
2017-11-24,21659,217
2017-11-24,8763846,85
2017-11-24,7192,225
2017-11-24,24388,193
2017-11-24,84048,158
2017-11-24,14632225,233
2017-11-24,1223192,106
2017-11-24,387893,161
2017-11-24,544087,291
2017-11-24,462335,413
2017-11-24,14264,81
2017-11-24,582514,237
2017-11-24,12332,215
2017-11-24,2023296,166
2017-11-24,2752030,164
2017-11-24,431650,214
2017-11-24,1402870,181
2017-11-24,571680,191
2017-11-24,899176,506
2017-11-24,3551,361
2017-11-24,16150,297
2017-11-24,1402005,214
2017-11-24,582415,120
2017-11-24,1381705,128
2017-11-24,898660,183
2017-11-24,2379978,281
2017-11-24,900985,135
2017-11-24,1486728,101
2017-11-24,1402886,241
2017-11-24,888718,212
2017-11-24,533987,151
2017-11-24,889177,134
2017-11-24,9789,289
2017-11-24,10546518,160
2017-11-24,26802,279
2017-11-24,1160321,125
2017-11-24,8765476,148
2017-11-24,1793825,258
2017-11-24,4923931,205
2017-11-24,55005,170
2017-11-24,7238,113
2017-11-24,64749,87
2017-11-24,436250,288
2017-11-24,15538456,496
2017-11-24,23016,442
2017-11-24,1112611,477
2017-11-24,8171297,529
2017-11-24,10947164,247
2017-11-24,3087913,193
2017-11-24,1348046,294
2017-11-24,1886693,126
2017-11-24,118126,134
2017-11-24,26145,156
2017-11-24,4278,368
2017-11-24,1709292,124
2017-11-24,7528,395
2017-11-24,4661230,339
2017-11-24,2543847,225
2017-11-24,6490,330
2017-11-24,55000,267
2017-11-24,888338,92
2017-11-24,26085,148
2017-11-24,11715,178
2017-11-24,9732709,420
2017-11-24,1144039,223
2017-11-24,25578,399
2017-11-24,6470359,121
2017-11-24,984512,191
2017-11-24,7422259,279
2017-11-24,11742576,274
2017-11-24,41852,123
2017-11-24,201127,235
2017-11-24,64071,103
2017-11-24,9683512,119
2017-11-24,888503,79
2017-11-24,4883915,276
2017-11-24,21632,205
2017-11-24,8438852,144
2017-11-24,19058,343
2017-11-24,10186970,73
2017-11-24,900646,84
2017-11-24,1038731,213
2017-11-24,425849,297
2017-11-24,3907784,317
2017-11-24,20124,242
2017-11-24,909423,98
2017-11-24,1348282,173
2017-11-24,1049989,332
2017-11-24,6706032,151
2017-11-24,914141,102
2017-12-01,20098,655
2017-12-01,28146,540
2017-12-01,3113039,240
2017-12-01,537268,614
2017-12-01,12084011,171
2017-12-01,16363485,188
2017-12-01,3849185,643
2017-12-01,5169,360
2017-12-01,21688,170
2017-12-01,2276,323
2017-12-01,21208,741
2017-12-01,10939,286
2017-12-01,888830,124
2017-12-01,116041,180
2017-12-01,7082613,186
2017-12-01,179,250
2017-12-01,523228,179
2017-12-01,438636,867
2017-12-01,7606,385
2017-12-01,3872807,119
2017-12-01,62755,148
2017-12-01,2651,144
2017-12-01,528337,242
2017-12-01,62766,112
2017-12-01,1585328,224
2017-12-01,1584661,231
2017-12-01,574158,304
2017-12-01,18561,226
2017-12-01,49091,315
2017-12-01,4735824,198
2017-12-01,5349114,572
2017-12-01,115911,139
2017-12-01,518026,189
2017-12-01,11196,460
2017-12-01,28126,178
2017-12-01,20515,292
2017-12-01,428403,129
2017-12-01,8466215,179
2017-12-01,13891,313
2017-12-01,447050,169
2017-12-01,15411328,228
2017-12-01,10430,267
2017-12-01,115923,466
2017-12-01,27158,657
2017-12-01,201089,163
2017-12-01,9745,240
2017-12-01,7281877,288
2017-12-01,21364,876
2017-12-01,470865,297
2017-12-01,527482,188
2017-12-01,5627,277
2017-12-01,34285,139
2017-12-01,525490,261
2017-12-01,559690,177
2017-12-01,578692,392
